"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_ZONA";"SQ_CANDIDATO";"NM_URNA_CANDIDATO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
2016;2;"Eleição Ordinária";7;210000026587;"DANILO";4;"NÃO ELEITO";"N";805
2016;2;"Eleição Ordinária";7;210000027992;"DR. GERALDO";1;"ELEITO";"N";1594
2016;2;"Eleição Ordinária";7;210000030109;"ERALDO SELING - RATO";4;"NÃO ELEITO";"N";173
2016;2;"Eleição Ordinária";7;210000029043;"JULIO PINTOS";4;"NÃO ELEITO";"N";658
2016;2;"Eleição Ordinária";7;210000027994;"ALFREDO";3;"ELEITO POR MÉDIA";"N";153
2016;2;"Eleição Ordinária";7;210000029031;"ANDERSON FOGUINHO";2;"ELEITO POR QP";"N";113
2016;2;"Eleição Ordinária";7;210000030107;"ANDREA";4;"NÃO ELEITO";"N";63
2016;2;"Eleição Ordinária";7;210000026581;"ARLENIO HUBERT";5;"SUPLENTE";"N";110
2016;2;"Eleição Ordinária";7;210000029042;"AYMAN";5;"SUPLENTE";"N";76
2016;2;"Eleição Ordinária";7;210000028003;"BEATRIZ PRIEBE SILVEIRA";2;"ELEITO POR QP";"N";289
2016;2;"Eleição Ordinária";7;210000029032;"CLAUDIA COUGO";5;"SUPLENTE";"N";57
2016;2;"Eleição Ordinária";7;210000028006;"CLAUDIOMIRO";5;"SUPLENTE";"N";32
2016;2;"Eleição Ordinária";7;210000027999;"CLEUSA BARCELOS";5;"SUPLENTE";"N";42
2016;2;"Eleição Ordinária";7;210000026582;"DALMIRO ALMEIDA";2;"ELEITO POR QP";"N";138
2016;2;"Eleição Ordinária";7;210000029033;"EDMUNDO PICHLER";2;"ELEITO POR QP";"N";225
2016;2;"Eleição Ordinária";7;210000029038;"EDUARDO BIDU";3;"ELEITO POR MÉDIA";"N";95
2016;2;"Eleição Ordinária";7;210000027998;"EMERSON FERREIRA";5;"SUPLENTE";"N";62
2016;2;"Eleição Ordinária";7;210000029034;"FERNANDA MARTENS";5;"SUPLENTE";"N";73
2016;2;"Eleição Ordinária";7;210000026583;"HELMUT KROKER";5;"SUPLENTE";"N";106
2016;2;"Eleição Ordinária";7;210000026584;"IDELMAR CEOLIN - GAÚCHO";5;"SUPLENTE";"N";41
2016;2;"Eleição Ordinária";7;210000027997;"JACQUELINE FERREIRA";5;"SUPLENTE";"N";144
2016;2;"Eleição Ordinária";7;210000029036;"KELI BENDER";5;"SUPLENTE";"N";31
2016;2;"Eleição Ordinária";7;210000029035;"LILIANE NUNES";5;"SUPLENTE";"N";67
2016;2;"Eleição Ordinária";7;210000029037;"LIZIANE JARDIM";2;"ELEITO POR QP";"N";245
2016;2;"Eleição Ordinária";7;210000028001;"LUIS VARGAS";5;"SUPLENTE";"N";25
2016;2;"Eleição Ordinária";7;210000026580;"MAGDA DAGHASH";5;"SUPLENTE";"N";4
2016;2;"Eleição Ordinária";7;210000028000;"MARCOS VILLAMIL";5;"SUPLENTE";"N";29
2016;2;"Eleição Ordinária";7;210000027995;"MARCUS PETI";2;"ELEITO POR QP";"N";229
2016;2;"Eleição Ordinária";7;210000026586;"MARIA ILZA OLIVEIRA";5;"SUPLENTE";"N";28
2016;2;"Eleição Ordinária";7;210000026585;"MICAEL LUCAS";5;"SUPLENTE";"N";68
2016;2;"Eleição Ordinária";7;210000030108;"MOISÉS ZANATTO";4;"NÃO ELEITO";"N";65
2016;2;"Eleição Ordinária";7;210000027996;"ODETE RIBEIRO";2;"ELEITO POR QP";"N";169
2016;2;"Eleição Ordinária";7;210000032817;"PALMIRA BARBOZA";5;"SUPLENTE";"N";14
2016;2;"Eleição Ordinária";7;210000029040;"RICARDO TADEO";5;"SUPLENTE";"N";64
2016;2;"Eleição Ordinária";7;210000029039;"RODRIGO LIMA";5;"SUPLENTE";"N";90
2016;2;"Eleição Ordinária";7;210000029041;"SERGINHO";5;"SUPLENTE";"N";41
2016;2;"Eleição Ordinária";7;210000028002;"WILLI BARG";5;"SUPLENTE";"N";41
2016;2;"Eleição Ordinária";119;210000020865;"NAEDY WRASSE";4;"NÃO ELEITO";"N";4679
2016;2;"Eleição Ordinária";119;210000014015;"VALERIO";1;"ELEITO";"N";6241
2016;2;"Eleição Ordinária";119;210000014031;"ALEXANDRE NEU";2;"ELEITO POR QP";"N";704
2016;2;"Eleição Ordinária";119;210000014021;"ALICEU";5;"SUPLENTE";"N";221
